epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1200,0.9462,0.87842,1.24107,0.86462,0.6,0.69895,0.40014,1.67498,1.36047,2.15324,0.0004952,0.0004952,0.0004952
78,1215.05,0.90102,0.79801,1.24836,0.8312,0.6,0.70485,0.40066,1.6553,1.37592,2.12665,0.0004754,0.0004754,0.0004754
79,1230.23,0.96844,0.85655,1.28328,0.68349,0.77776,0.7547,0.41164,1.65296,1.39792,2.10764,0.0004556,0.0004556,0.0004556
80,1245.47,1.00197,0.87614,1.31609,0.62985,0.81709,0.77385,0.40328,1.63387,1.42083,2.10225,0.0004358,0.0004358,0.0004358
81,1260.79,0.84609,0.75753,1.17164,0.73459,0.76,0.75599,0.4136,1.6682,1.4698,2.14834,0.000416,0.000416,0.000416
82,1276.08,0.72817,0.66565,1.11667,0.69657,0.72,0.73989,0.38872,1.69161,1.52462,2.15759,0.0003962,0.0003962,0.0003962
83,1291.25,0.95138,0.84212,1.19194,0.74813,0.72,0.73096,0.39636,1.65749,1.56119,2.13698,0.0003764,0.0003764,0.0003764
84,1306.27,0.77096,0.70444,1.15124,0.68472,0.8,0.74915,0.40829,1.63376,1.54057,2.11619,0.0003566,0.0003566,0.0003566
85,1321.62,0.83094,0.71325,1.17793,0.73749,0.72,0.73294,0.41057,1.66398,1.48694,2.15016,0.0003368,0.0003368,0.0003368
86,1336.81,0.70537,0.72447,1.1849,0.75913,0.7565,0.74801,0.40603,1.69404,1.45031,2.18927,0.000317,0.000317,0.000317
87,1351.92,0.79969,0.66937,1.14191,0.75769,0.75076,0.75583,0.40926,1.68336,1.42788,2.16945,0.0002972,0.0002972,0.0002972
88,1367,0.84558,0.75821,1.19392,0.7344,0.77456,0.76978,0.41753,1.69829,1.39586,2.1838,0.0002774,0.0002774,0.0002774
89,1381.95,0.82017,0.73445,1.16398,0.69142,0.80684,0.77771,0.41897,1.68167,1.39136,2.15235,0.0002576,0.0002576,0.0002576
90,1397.31,0.72026,0.68801,1.11923,0.70519,0.76561,0.77448,0.41463,1.6795,1.40145,2.12772,0.0002378,0.0002378,0.0002378
91,1412.24,0.84632,0.9299,1.18298,0.77518,0.82785,0.78424,0.409,1.6873,1.42148,2.11053,0.000218,0.000218,0.000218
92,1427.08,0.73717,0.79344,1.19668,0.74649,0.84,0.78488,0.40737,1.66039,1.45432,2.08691,0.0001982,0.0001982,0.0001982
93,1441.86,0.72038,0.76094,1.18309,0.73589,0.78056,0.7626,0.40843,1.63508,1.48753,2.04894,0.0001784,0.0001784,0.0001784
94,1456.61,0.88231,1.18648,1.32513,0.69079,0.8,0.77096,0.39514,1.6463,1.51923,2.04289,0.0001586,0.0001586,0.0001586
95,1471.67,0.8487,1.15171,1.33926,0.65501,0.64,0.69224,0.36901,1.69206,1.52991,2.10454,0.0001388,0.0001388,0.0001388
96,1486.54,0.72632,0.74027,1.17941,0.76248,0.56,0.67604,0.35731,1.71959,1.51543,2.12389,0.000119,0.000119,0.000119
97,1501.24,0.62365,0.68068,1.07338,0.71397,0.59912,0.66343,0.34531,1.74583,1.47161,2.17841,9.92e-05,9.92e-05,9.92e-05
98,1516.15,0.5817,0.84482,1.13061,0.71211,0.59391,0.66554,0.34829,1.75328,1.45436,2.22376,7.94e-05,7.94e-05,7.94e-05
99,1532.14,0.55011,0.65145,1.05149,0.67209,0.64,0.66715,0.35843,1.71693,1.47157,2.19495,5.96e-05,5.96e-05,5.96e-05
100,1548.33,0.5486,0.64561,1.06473,0.67639,0.66918,0.67461,0.3653,1.69445,1.49053,2.15817,3.98e-05,3.98e-05,3.98e-05
